abo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Tivoid,North Tivoid,,,,,,,,,,
abp,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central Luzon,Sambalic,Abellen-Botolan,,,,,,,,,,,
abq,Abkhaz-Adyge,Abkhaz-Abaza,,,,,,,,,,,,,,,
abr,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Akanic,,,,,,,,,
abs,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Malayo-Sumbawan,North and East Malayo-Sumbawan,Malayic,Vehicular Malay,Eastern Indonesia Trade Malay,Ambonic Malay,,,,,,,,
abt,Ndu,Nuclear Ndu,Ambulas-Hanga-Hundi,,,,,,,,,,,,,,
abu,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Western Tano,,,,,,,,,,
abv,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
abw,Nuclear Trans New Guinea,Madang,Croisilles,Tibor-Omosa,Omosan,,,,,,,,,,,,
abx,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Barito,Sama-Bajaw,,,,,,,,,,,,
aby,Yareban,,,,,,,,,,,,,,,,
abz,Alor-Pantar,Alor,,,,,,,,,,,,,,,
aca,Arawakan,Northern Maipuran,Inland Northern Maipuran,,,,,,,,,,,,,,
acb,Unclassified,,,,,,,,,,,,,,,,
acc,,,,,,,,,,,,,,,,,
acd,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Guang,North Guang,Oti North Guang,Mountain Oti North Guang,Gikyode-Ginyanga,,,,,,
ace,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Malayo-Sumbawan,North and East Malayo-Sumbawan,Aceh-Chamic,,,,,,,,,,,
acf,Indo-European,Italic,Latino-Faliscan,Romance,Italo-Western Romance,Western Romance,Shifted Western Romance,Northwestern Shifted Romance,Gallo-Rhaetian,Oil,Central Oil,Macro-French,Circum-Caribbean French,Lesser Antillean French Creole,Lucia-Miguel Creole French,,
ach,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,,,,,,,,,,,,,
aci,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Bo-Cari,,,,,,,,,,,,,
ack,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Jeru-Kora,,,,,,,,,,,,,
acl,Great Andamanese,South Great Andamanese,,,,,,,,,,,,,,,
acm,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Eastern Arabic,,,,,,,,,,
acn,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Northern Burmish,High Northern Burmish,,,,,,,,,,,
acp,Atlantic-Congo,Volta-Congo,Benue-Congo,Kainji,Central Kainji,Shiroro-Kamuku,Kamuku-Hungwarya,Kamuku,Rogo-Sagamuk-Sama-Sambuga,Sagamuk-Sama-Sambuga,,,,,,,
acq,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
acr,Mayan,Yucatecan-Core Mayan,Core Mayan,Quichean-Mamean,Greater Quichean,Poqom-Quichean,Core Quichean,Quiche-Achi,,,,,,,,,
acs,Nuclear-Macro-Je,Je,Je Central,,,,,,,,,,,,,,
act,Indo-European,Germanic,Northwest Germanic,West Germanic,North Sea Germanic,Altsächsisch,Middle-Modern Low German,Low German,,,,,,,,,
acu,Jivaroan,Shuaric,,,,,,,,,,,,,,,
acv,Palaihnihan,,,,,,,,,,,,,,,,
acw,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
acx,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
acy,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Levantine Arabic,,,,,,,,,,
acz,Narrow Talodi,Tochoic,,,,,,,,,,,,,,,
ada,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Ga-Dangme,,,,,,,,,,,,,
adb,,,,,,,,,,,,,,,,,
add,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Wide Grassfields,Narrow Grassfields,Mbam-Nkam,Nka,Nkambe,,,,,,,
ade,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Na-Togo,Basila-Adele,,,,,,,,,,,,
adf,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
adg,Pama-Nyungan,Arandic-Thura-Yura,Arandic,Aranda,,,,,,,,,,,,,
adh,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,Adhola-Alur-Luo,Adhola-Luo,,,,,,,,,,,
adi,Sino-Tibetan,Macro-Tani,Tani,Eastern Tani,,,,,,,,,,,,,
adj,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
adl,Sino-Tibetan,Macro-Tani,Tani,Western Tani,Bokar-Nuclear Western Tani,Nuclear Western Tani,,,,,,,,,,,
adn,Alor-Pantar,Alor,West Alor,Straits West Alor,Adang-Hamap-Kabola,,,,,,,,,,,,
ado,Lower Sepik-Ramu,Agoan,,,,,,,,,,,,,,,
adp,Sino-Tibetan,Bodic,Bodish,West Bodish,U-Tsang,,,,,,,,,,,,
adq,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Gbe,Western Gbe,,,,,,,,,,,,
adr,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Flores-Lembata,Sika-Lamaholot,Lamaholotic,Lamaholot Barat,North Lembata,,,,,,,
ads,Sign Languages,,,,,,,,,,,,,,,,
adt,Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,Core Thura Yura,Northern Thura-Yura,,,,,,,,,,,,
adu,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,Northwestern Edoid,,,,,,,,,,,
adw,Tupian,Tupi-Guarani,Tupi-Guarani Subgroup VI,,,,,,,,,,,,,,
adx,Sino-Tibetan,Bodic,Bodish,West Bodish,,,,,,,,,,,,,
ady,Abkhaz-Adyge,Circassian,,,,,,,,,,,,,,,
adz,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Huon Gulf,Markham,Upper Markham,,,,,,
aea,Pama-Nyungan,Paman,Norman Pama,Kuthant-Gurdjar,Rib-Gurdjar,,,,,,,,,,,,
aeb,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
aec,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Egyptic Arabic,Egypto-Sudanic Arabic,,,,,,,,,
aed,Sign Languages,,,,,,,,,,,,,,,,
aee,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Northwestern zone,Pashayi,Eastern Pashayi,,,,,,,,,,,
aek,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Southern Melanesian,New Caledonian,Northern New Caledonian,Voh-Kone,,,,,,,
ael,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Wide Grassfields,,,,,,,,,,,
aem,Austroasiatic,Vietic,Chutic,,,,,,,,,,,,,,
aen,Sign Languages,,,,,,,,,,,,,,,,
aeq,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic,Western Gujaratic,,,,,,,,,
aer,Pama-Nyungan,Arandic-Thura-Yura,Arandic,Aranda,,,,,,,,,,,,,
aes,,,,,,,,,,,,,,,,,
aeu,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Hani-Jino,Southern Loloish,Hanic,Ha-Ya,Akhaic,,,,,,,,
aew,Lower Sepik-Ramu,,,,,,,,,,,,,,,,
aey,Nuclear Trans New Guinea,Madang,Croisilles,Mabuso,Gum,,,,,,,,,,,,
aez,Nuclear Trans New Guinea,Greater Binanderean,Binanderean,Nuclear Binanderean,South Binandere,Orokaivic,,,,,,,,,,,
afb,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Arabian Peninsula Arabic,,,,,,,,,,
afd,Arafundi,,,,,,,,,,,,,,,,
afe,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Bendic,,,,,,,,,,,
afg,Sign Languages,,,,,,,,,,,,,,,,
afi,Lower Sepik-Ramu,Ramu,Tamolan,Itutang-Midsivindi-Akrukai,,,,,,,,,,,,,
afk,Arafundi,,,,,,,,,,,,,,,,
afn,Ijoid,,,,,,,,,,,,,,,,
afo,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,,,,,,,,,,,,,
afp,Arafundi,,,,,,,,,,,,,,,,
afr,Indo-European,Germanic,Northwest Germanic,West Germanic,Franconian,Low Franconian,Afrikaansic,,,,,,,,,,
afs,Indo-European,Germanic,Northwest Germanic,West Germanic,North Sea Germanic,Anglo-Frisian,Anglian,Mercian,Macro-English,Guinea Coast Creole English,Caribbean English Creole,Eastern Caribbean Creole,Gullah-Nevis-Antigua,Gullah,,,
aft,Nyimang,,,,,,,,,,,,,,,,
afu,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Guang,South Guang,,,,,,,,,
afz,Lakes Plain,Tariku,East Tariku,Eritai-Obokuitai-Biritai,,,,,,,,,,,,,
aga,Arawakan,Southern Maipuran,Pre-Andine,,,,,,,,,,,,,,
agb,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Upper Cross,Central Upper Cross,East-West Central Delta Cross,Mbembe-Legbo,Legboic,,,,,,,,
agc,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Akweya,Etulo-Idoma,Nuclear Idoma,,,,,,,,,,
agd,Nuclear Trans New Guinea,Kainantu-Goroka,Kainantu,Gauwa,Gadsup-Agarabi,,,,,,,,,,,,
age,Nuclear Trans New Guinea,West-Central East New Guinea Highlands,Kewa-Huli,Sau-Angal-Kewa,Angal-Kewa,Angal Mendi,,,,,,,,,,,
agf,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,South Halmahera-West New Guinea,Bomberai,,,,,,,,,,
agg,Senagi,,,,,,,,,,,,,,,,
agh,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Ababuan,Old Bomokandian,Middle Bomokandian,Late Bomokandian,,,,,,,
agi,Dravidian,South Dravidian,South Dravidian II,Gondi,,,,,,,,,,,,,
agj,Afro-Asiatic,Semitic,West Semitic,Ethiosemitic,South Ethiopic,Transversal South Ethiopic,Amharic-Argobba,,,,,,,,,,
agk,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bikol,Inagta Bikol,,,,,,,,,,
agl,East Strickland,,,,,,,,,,,,,,,,
agm,Angan,,,,,,,,,,,,,,,,
agn,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Kalamian,,,,,,,,,,,,,
ago,Angan,Southwest Angan,Tainae-Akoye,,,,,,,,,,,,,,
agp,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northern Luzon,Northeastern Luzon,Nuclear Northeastern Luzon,Paranan-Pahanan,,,,,,,,,,
agq,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Wide Grassfields,Narrow Grassfields,Ring,West Ring,,,,,,,,
agr,Jivaroan,,,,,,,,,,,,,,,,
ags,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Tivoid,,,,,,,,,,,
agt,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northern Luzon,Cagayan Valley,Ibanagic,Gaddangic,,,,,,,,,,
agu,Mayan,Yucatecan-Core Mayan,Core Mayan,Quichean-Mamean,Greater Mamean,Ixilan,,,,,,,,,,,
agv,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central Luzon,,,,,,,,,,,,,
agw,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Southeast Solomonic,Malaita-San Cristobal,Malaita-Makira,San Cristobal,,,,,,,
agx,Nakh-Daghestanian,Daghestanian,Lezgic,Nuclear Lezgic,East Lezgic,,,,,,,,,,,,
agy,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northern Luzon,Meso-Cordilleran,Alta,,,,,,,,,,,
agz,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bikol,Inagta Bikol,,,,,,,,,,
aha,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Bia,Southern Bia,,,,,,,,
ahb,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,North and Central Vanuatu,Central Vanuatu,Malakula,Eastern Malakula linkage,Axamb-Avok,,,,,,
ahg,Afro-Asiatic,Cushitic,Central Cushitic,Northern-Eastern-Western Agaw,,,,,,,,,,,,,
ahh,Nuclear Trans New Guinea,Central and South New Guinea,Greater Awyu,Awyu-Dumut,Awyu,Central and West Awyu,Mappi-Digul Awyu,,,,,,,,,,
ahi,Atlantic-Congo,Volta-Congo,Kru,Aizi,,,,,,,,,,,,,
ahk,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Hani-Jino,Southern Loloish,Hanic,Ha-Ya,Akhaic,,,,,,,,
ahl,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Ka-Togo,Kposo-Ahlo-Bowili,,,,,,,,,,,,
ahm,Atlantic-Congo,Volta-Congo,Kru,Aizi,,,,,,,,,,,,,
ahn,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Ayere-Ahan,,,,,,,,,,,,
aho,Tai-Kadai,Kam-Tai,Be-Tai,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Tai P,,,,,,,,
ahp,Atlantic-Congo,Volta-Congo,Kru,Aizi,,,,,,,,,,,,,
ahr,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Khandesic,,,,,,,,,,,
ahs,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Western Benue-Congo Plateau,Northwestern Benue-Congo Plateau,Koroic,,,,,,,,,,
aht,Athapaskan-Eyak-Tlingit,Athapaskan-Eyak,Athapaskan,Northern Athapaskan,,,,,,,,,,,,,
aia,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Southeast Solomonic,Malaita-San Cristobal,Malaita-Makira,San Cristobal,,,,,,,
aib,Turkic,Common Turkic,Oghuz-Kipchak-Uyghur,Uyghur,Far East Yugur,,,,,,,,,,,,
aic,Border,Bewani,Pagi-Kilmeri,,,,,,,,,,,,,,
aid,Pama-Nyungan,Paman,Northern Pama,Leningitij-Alngith,,,,,,,,,,,,,
aie,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,,,,,,
aif,Nuclear Torricelli,Wapei-Palei,West Palai,Agi-Yeri,,,,,,,,,,,,,
aig,Indo-European,Germanic,Northwest Germanic,West Germanic,North Sea Germanic,Anglo-Frisian,Anglian,Mercian,Macro-English,Guinea Coast Creole English,Caribbean English Creole,Eastern Caribbean Creole,Gullah-Nevis-Antigua,,,,
aih,Tai-Kadai,Kam-Tai,Kam-Sui,Then-MMS,Maonan-Mak-Sui,Mak-Ai-Cham,,,,,,,,,,,
aii,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Aramaic,Eastern Aramaic,Central Eastern Aramaic,North-Eastern Neo-Aramaic,,,,,,,,
aij,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Northwest Semitic,Aramaic,Eastern Aramaic,Central Eastern Aramaic,North-Eastern Neo-Aramaic,Southwestern Jewish Neo-Aramaic,,,,,,,
aik,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Alumic,Jilic-Eggonic,Eggon-Ake,,,,,,,,,,
ail,Bosavi,Bosavi Watershed,,,,,,,,,,,,,,,
aim,Sino-Tibetan,Kuki-Chin-Naga,Kuki-Chin,Old Kuki,Aimol-Syriem,,,,,,,,,,,,
ain,Ainu,,,,,,,,,,,,,,,,
aio,Tai-Kadai,Kam-Tai,Be-Tai,Daic,Central-Southwestern Tai,Wenma-Southwestern Tai,Sapa-Southwestern Tai,Southwestern Tai,Southwestern Tai P,Shan Tai,Assam Tai,,,,,,
aip,Nuclear Trans New Guinea,Central and South New Guinea,Ok-Oksapmin,Ok,Kwer-Kopkaka-Burumakok,Kwer-Burumakok,,,,,,,,,,,
aiq,Indo-European,Indo-Iranian,Iranian,Western Iranian,Southwestern Iranian,Farsic-Caucasian Tat,Farsic,Eastern Farsic,,,,,,,,,
air,Kwerbic,Kwerban,West Coast Kwerba,,,,,,,,,,,,,,
ais,Austronesian,Nuclear Austronesian,East Formosan,Central East Formosan,,,,,,,,,,,,,
ait,Tupian,Arikemic,,,,,,,,,,,,,,,
aiw,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
aix,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Pasismanua,,,,
aiy,Atlantic-Congo,Volta-Congo,North Volta-Congo,Gbaya-Manza-Ngbaka,Gbaya Oriental,Gbanu-Manza-Ngbaka,Manza-Ngbaka,Manzaic,Ngbaka-Manza-Ali,,,,,,,,
aja,Kresh-Aja,,,,,,,,,,,,,,,,
ajg,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Gbe,,,,,,,,,,,,,
aji,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Southern Melanesian,New Caledonian,Southern New Caledonian,Houailou,,,,,,,
ajp,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Levantine Arabic,,,,,,,,,,
ajt,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
aju,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
ajw,Afro-Asiatic,Chadic,West Chadic,West Chadic B,West Chadic B B.2,,,,,,,,,,,,
ajz,Sino-Tibetan,Kuki-Chin-Naga,Naga,Karbic,,,,,,,,,,,,,
aka,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Akanic,,,,,,,,,
akb,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northwest Sumatra-Barrier Islands,Toba-Batak,Southern Batak,Tobaic,Angkola-Mandailing,,,,,,,,,
akc,,,,,,,,,,,,,,,,,
akd,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Upper Cross,,,,,,,,,,,,
ake,Cariban,Venezuelan,Pemong-Panare,Pemongan,Kapong,,,,,,,,,,,,
akf,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Yatye-Akpa,,,,,,,,,,,,
akg,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Flores-Sumba-Hawu,Sumba-Hawu,Sumba,Kamberaic,,,,,,,,
akh,Nuclear Trans New Guinea,West-Central East New Guinea Highlands,Kewa-Huli,Sau-Angal-Kewa,Angal-Kewa,Angal Mendi,,,,,,,,,,,
aki,Lower Sepik-Ramu,Ramu,Annaberg,Aian,,,,,,,,,,,,,
akj,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Jeru-Kora,,,,,,,,,,,,,
akk,Afro-Asiatic,Semitic,East Semitic,,,,,,,,,,,,,,
akl,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Bisayan,West Bisayan,Aklan,,,,,,,,,
akm,Great Andamanese,Central Great Andamanese,Northern Great Andamanese,Bo-Cari,,,,,,,,,,,,,
ako,Cariban,Guianan,Taranoan,Tiriyoan,,,,,,,,,,,,,
akp,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Na-Togo,Lelemic,Lelemi-Akpafu,,,,,,,,,,,
akq,Sepik,Yellow River,,,,,,,,,,,,,,,
akr,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,North and Central Vanuatu,Northern Vanuatu,Espiritu Santo,South Santo,,,,,,,
aks,Atlantic-Congo,Volta-Congo,North Volta-Congo,Gur,Central Gur,Northern Central Gur,Bwamu-Oti-Volta,Oti-Volta,Nuclear Oti-Volta,Gurma-Yom-Oti-Volta Occidental,Gurma-Yom-Naudem,Gurma,Ntcham-Akaselem,,,,
akt,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Arawe,East Arawe,,,
aku,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Yukubenic,Akum-Beezen,,,,,,,,,,,
akv,Nakh-Daghestanian,Daghestanian,Avar-Andic-Tsezic,Andic,,,,,,,,,,,,,
akw,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Central-Western Bantu,Koyo-Mboshi,,,,,,,,,
akx,Great Andamanese,Central Great Andamanese,Middle Great Andamanese,,,,,,,,,,,,,,
aky,Great Andamanese,Central Great Andamanese,Middle Great Andamanese,Juwol-Kol,,,,,,,,,,,,,
akz,Muskogean,Alabaman-Koasati,,,,,,,,,,,,,,,
ala,Atlantic-Congo,Volta-Congo,Benue-Congo,Idomoid,Akweya,Etulo-Idoma,Nuclear Idoma,,,,,,,,,,
alc,Kawesqar,North Central Alacufan,,,,,,,,,,,,,,,
ald,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Avikam-Alladian,,,,,,,,,,,,
